topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,10,2,10,1,0,1,10,512,100,2,0,0.014985871299221477
4,1,2,1000000,10,0,1,10,512,10000,2,29,2.0000260806332455
4,1,2,10,10,0,1000,10,1024,100,5,29,0.2081445945861539
2,1,2,10,10,0,1,1000,512,100,2,29,1.999988722688632
2,10,2,10,10,0,1000,10,512,100,2,29,0.8033970105911261
2,10,2,10,10,0,1000,1000,1024,100,5,0,2.000052005345468
4,1,2,1000000,1,1,1,10,512,10000,5,0,2.000033645282446
2,1,2,1000000,1,1,1,1000,512,10000,5,0,0.0008522469371383164
4,10,2,1000000,1,0,1000,10,1024,100,2,0,3.849283039819343e-05
4,1,4,10,10,0,1000,10,1024,100,5,29,0.18702851394723866
2,1,2,10,10,1,1,10,512,100,2,29,0.14998201612772144
2,10,2,1000000,1,1,1,10,1024,10000,5,0,2.0000451627255473
4,1,4,10,10,1,1,1000,1024,10000,5,0,0.08352475726630798
4,1,2,1000000,10,0,1000,10,512,100,2,0,2.000055678798528
2,10,4,10,1,1,1000,1000,512,100,5,29,1.9999917829247236
4,1,2,10,1,1,1,10,1024,10000,5,29,1.9999459483584812
4,10,4,1000000,1,0,1,10,512,100,2,29,0.0024308877312269705
2,10,2,10,1,0,1,1000,1024,100,5,0,1.9999659577080229
2,1,2,1000000,10,1,1,10,1024,100,2,0,2.0000286709752437
4,1,2,1000000,10,0,1,1000,1024,100,5,0,1.9999888306606266
4,1,4,10,10,0,1000,1000,1024,100,2,29,2.0000416541441397
4,10,2,10,1,0,1,1000,512,100,2,0,2.0000046467245243
4,10,4,10,1,0,1,10,512,100,5,29,0.014262608833814269
4,10,2,1000000,1,1,1000,1000,512,10000,2,0,1.999984466863171
2,10,4,10,10,1,1,1000,512,10000,2,0,0.14976534115546755
2,1,2,1000000,1,0,1,1000,1024,10000,2,0,0.0014205665663214863
2,10,4,1000000,10,1,1000,10,512,10000,2,0,1.9998492508318073
2,10,4,10,10,0,1,1000,512,100,5,0,2.000079707954697
2,1,4,10,10,1,1000,10,1024,100,5,29,0.3135100644556932
2,10,4,10,1,0,1000,1000,512,100,5,29,1.999973305728875
4,1,4,10,10,1,1,10,512,100,5,29,0.08223092303576035
2,10,4,1000000,10,0,1000,10,1024,10000,5,29,1.9999580953095846
4,1,4,10,1,0,1000,1000,512,100,5,29,1.9999449875239212
4,1,4,10,1,0,1000,1000,1024,10000,2,0,0.7422374072941773
2,1,2,1000000,10,1,1000,1000,1024,100,5,29,1.9999721769704888
2,10,2,10,1,0,1,1000,1024,100,2,29,2.000033213531865
4,1,4,10,10,1,1,1000,512,100,5,0,2.000071962312137
4,10,2,10,10,0,1000,10,1024,10000,5,0,2.0000172172598707
2,1,2,10,10,1,1,10,1024,10000,5,29,2.0000092983839752
2,1,4,10,10,1,1000,10,1024,100,2,29,0.7947421983003112
2,10,2,1000000,10,0,1000,10,1024,10000,5,0,2.0000471572961955
2,10,4,10,1,0,1000,1000,1024,10000,2,29,0.9445149931002716
4,1,4,10,10,1,1000,10,512,100,2,0,0.4884519325516819
2,1,4,1000000,1,0,1,1000,1024,10000,5,0,2.0000009128506706
4,10,4,1000000,10,1,1000,1000,512,100,2,29,2.0000832988764823
2,1,4,10,10,1,1000,10,1024,10000,2,0,1.9999965086293239
2,10,4,1000000,1,1,1000,1000,1024,100,2,0,2.0000724321488366
2,10,4,10,10,1,1000,10,1024,10000,5,29,2.0000605607221957
2,1,2,10,10,0,1,1000,512,10000,5,29,0.14155097866503027
4,10,2,10,1,1,1000,10,512,10000,2,29,2.0000370510546417
2,10,2,10,10,0,1,10,512,100,2,29,0.1487878792389948
4,10,4,10,1,0,1000,10,512,10000,2,29,1.9999237664252958
2,1,2,1000000,1,0,1,1000,512,100,2,0,2.0000056120360417
2,10,4,1000000,1,0,1000,1000,512,100,5,0,1.9999968432234525
4,1,4,1000000,10,1,1,10,1024,10000,2,29,2.000077747925911
2,10,2,10,1,1,1000,10,512,100,5,0,0.28381187885678955
2,1,2,1000000,10,1,1,1000,512,100,2,29,1.9999206573095887
4,1,4,10,10,1,1,10,512,100,5,29,0.08231057816389648
2,10,4,1000000,1,0,1000,1000,1024,10000,5,29,0.00016175502782938859
